ID,Symbol,Entry Date,Entry Price,Quantity,Exit Date,Exit Price,Status,Days Held,Profit/Loss $,Profit/Loss %,Exit Reason / Stop Loss,Remaining Qty
1,GH,2026-02-19,108.50,27,2026-03-03,88.91,CLOSED,11,-529.20,-18.06%,Stop Loss,0
2,UMBF,2026-02-20,126.70,23,2026-03-13,110.02,CLOSED,21,-383.76,-13.17%,TES,0
3,GD,2026-02-24,352.32,8,2026-03-17,354.90,CLOSED,21,20.64,0.73%,TES,0
4,EMR,2026-02-24,151.01,19,2026-03-17,132.94,CLOSED,21,-343.33,-11.97%,TES,0
5,TSN,2026-02-24,63.15,47,2026-03-17,62.38,CLOSED,21,-36.19,-1.22%,TES,0
6,TSN,2026-02-26,63.52,47,2026-03-19,59.23,CLOSED,21,-201.63,-6.75%,TES,0
7,GD,2026-02-26,349.92,8,2026-03-19,350.21,CLOSED,21,2.32,0.08%,TES,0
8,RNST,2026-02-26,40.06,74,2026-03-19,34.55,CLOSED,21,-407.37,-13.74%,TES,0
9,PFS,2026-03-02,21.49,139,OPEN,OPEN,OPEN,18,,,SL: $17.84,139
10,WSBC,2026-03-02,35.53,84,OPEN,OPEN,OPEN,18,,,SL: $29.49,84
11,NVDA,2026-03-02,182.54,16,OPEN,OPEN,OPEN,18,,,SL: $151.51,16
12,NVMI,2026-03-04,441.35,6,OPEN,OPEN,OPEN,16,,,SL: $401.63,6
13,AMGN,2026-03-06,367.64,8,OPEN,OPEN,OPEN,14,,,SL: $305.14,8
14,HAL,2026-03-09,34.48,85,OPEN,OPEN,OPEN,11,,,SL: $31.38,85
15,AAPL,2026-03-09,259.83,11,OPEN,OPEN,OPEN,11,,,SL: $215.66,11
16,FCX,2026-03-09,60.28,48,OPEN,OPEN,OPEN,11,,,SL: $50.04,48
17,BUSE,2026-03-16,25.04,117,OPEN,OPEN,OPEN,4,,,SL: $20.78,117
18,AEIS,2026-03-17,313.77,9,OPEN,OPEN,OPEN,3,,,SL: $285.53,9
19,AMAT,2026-03-17,351.06,8,OPEN,OPEN,OPEN,3,,,SL: $291.38,8
20,FDX,2026-03-19,354.00,8,OPEN,OPEN,OPEN,1,,,SL: $293.82,8
